ponto1,ponto2,distancia_normalizada
1,123,0.063084
1,124,0.083452
1,125,0.424686
1,126,0.096852
1,127,0.422000
1,128,0.372826
1,129,0.424686
1,130,0.226198
1,131,0.400753
1,132,0.370532
1,133,0.429511
1,134,0.378126
1,135,0.435916
1,136,0.110557
1,137,0.415381
1,138,0.307662
1,139,0.086791
1,140,0.314515
1,141,0.074451
1,142,0.061947
1,143,0.246925
1,144,0.260100
1,145,0.392692
1,146,0.084299
1,147,0.186984
1,148,0.458326
1,149,0.093871
1,150,0.397727
2,3,0.858360
2,4,0.380374
2,5,0.430338
2,6,0.065298
2,7,0.277803
2,8,0.647403
2,9,0.414525
2,10,0.312475
2,11,0.613590
2,12,0.149853
2,13,0.065298
2,14,0.131138
2,15,0.075399
2,16,0.400753
2,17,0.693714
2,18,0.319447
2,19,0.373968
2,20,0.670905
2,21,0.140048
2,22,0.568377
2,23,0.097583
2,24,0.665268
2,25,0.809796
2,26,0.648280
2,27,0.682665
2,28,0.720152
2,29,0.147944
2,30,0.136970
2,31,0.157709
2,32,0.076336
2,33,0.376808
2,34,0.118619
2,35,0.177629
2,36,0.593455
2,37,0.379439
2,38,0.074451
2,39,0.094625
2,40,0.077261
2,41,0.587679
2,42,0.372826
2,43,0.411772
2,44,0.061947
2,45,0.046172
2,46,0.303710
2,47,0.579643
2,48,0.638784
2,49,0.376053
2,50,0.769756
2,51,0.338458
2,52,0.813299
2,53,0.375674
2,54,0.088413
2,55,0.823976
2,56,0.325835
2,57,0.085138
2,58,0.102554
2,59,0.076336
2,60,0.325617
2,61,0.575954
2,62,0.120403
2,63,0.127846
2,64,0.096116
2,65,0.346959
2,66,0.090007
2,67,0.330813
2,68,0.838001
2,69,0.154062
2,70,0.354056
2,71,0.583432
2,72,0.065298
2,73,0.555478
2,74,0.587679
2,75,0.346139
2,76,0.377185
2,77,0.652323
2,78,0.349205
2,79,0.039540
2,80,0.286864
2,81,0.624723
2,82,0.109264
2,83,0.125603
2,84,0.316542
2,85,0.453807
2,86,0.131138
2,87,0.618320
2,88,0.099744
2,89,0.098309
2,90,0.417429
2,91,0.249502
2,92,0.704489
2,93,0.454746
2,94,0.622900
2,95,0.779207
2,96,0.337617
2,97,0.192231
2,98,0.206489
2,99,0.567502
2,100,0.721532
2,101,0.157709
2,102,0.087606
2,103,0.188498
2,104,0.441746
2,105,0.680893
2,106,0.144050
2,107,0.669421
2,108,0.725755
2,109,0.147463
2,110,0.398619
2,111,0.404108
2,112,0.562091
2,113,0.417429
2,114,0.647403
2,115,0.073490
2,116,0.663985
2,117,0.344905
2,118,0.622900
2,119,0.271071
2,120,0.326706
2,121,0.384832
2,122,0.233920
2,123,0.395936
2,124,0.368994
2,125,0.055918
2,126,0.324524
2,127,0.756063
2,128,0.686195
2,129,0.077261
2,130,0.283375
2,131,0.709014
2,132,0.692176
2,133,0.131138
2,134,0.692586
2,135,0.140048
2,136,0.439811
2,137,0.745367
2,138,0.645864
2,139,0.332099
2,140,0.642112
2,141,0.393596
2,142,0.358840
2,143,0.569002
2,144,0.583188
2,145,0.060789
2,146,0.325398
2,147,0.506496
2,148,0.066377
2,149,0.327575
2,150,0.721236
3,4,0.523740
3,5,0.454746
3,6,0.886863
3,7,0.638783
3,8,0.242277
3,9,0.526851
3,10,0.605898
3,11,0.270020
3,12,0.942792
3,13,0.910897
3,14,0.927212
3,15,0.907927
3,16,0.478355
3,17,0.200199
3,18,0.626994
3,19,0.555094
3,20,0.220792
3,21,0.924218
3,22,0.314741
3,23,0.898090
3,24,0.221756
3,25,0.160832
3,26,0.239919
3,27,0.187364
3,28,0.175617
3,29,0.934008
3,30,0.918820
3,31,0.987054
3,32,0.880672
3,33,0.493131
3,34,0.918123
3,35,0.970134
3,36,0.285623
3,37,0.495144
3,38,0.905968
3,39,0.926445
3,40,0.914323
3,41,0.315868
3,42,0.516086
3,43,0.460028
3,44,0.908788
3,45,0.896506
3,46,0.657424
3,47,0.289085
3,48,0.242863
3,49,0.499431
3,50,0.165621
3,51,0.578907
3,52,0.065298
3,53,0.551111
3,54,0.920906
3,55,0.049154
3,56,0.597869
3,57,0.915643
3,58,0.931570
3,59,0.865040
3,60,0.717879
3,61,0.297326
3,62,0.890063
3,63,0.908162
3,64,0.878733
3,65,0.588766
3,66,0.911131
3,67,0.582334
3,68,0.145522
3,69,0.948878
3,70,0.537666
3,71,0.331028
3,72,0.905890
3,73,0.331028
3,74,0.315868
3,75,0.605428
3,76,0.566373
3,77,0.270283
3,78,0.621072
3,79,0.869138
3,80,0.727417
3,81,0.250639
3,82,0.926215
3,83,0.945878
3,84,0.644322
3,85,0.424016
3,86,0.927212
3,87,0.313157
3,88,0.916497
3,89,0.889903
3,90,0.490095
3,91,0.739336
3,92,0.186222
3,93,0.473127
3,94,0.268171
3,95,0.106631
3,96,0.616478
3,97,0.962338
3,98,1.000000
3,99,0.322106
3,100,0.154062
3,101,0.939848
3,102,0.916497
3,103,0.971012
3,104,0.477611
3,105,0.247213
3,106,0.944299
3,107,0.205454
3,108,0.216568
3,109,0.952615
3,110,0.504387
3,111,0.484701
3,112,0.314289
3,113,0.448926
3,114,0.255969
3,115,0.902747
3,116,0.212594
3,117,0.555734
3,118,0.255135
3,119,0.658719
3,120,0.638783
3,121,0.511661
3,122,0.968594
3,123,0.487332
3,124,0.585741
3,125,0.901486
3,126,0.593335
3,127,0.110557
3,128,0.205454
3,129,0.903062
3,130,0.732286
3,131,0.205454
3,132,0.173172
3,133,0.927212
3,134,0.204761
3,135,0.932790
3,136,0.430668
3,137,0.114968
3,138,0.238135
3,139,0.588887
3,140,0.232702
3,141,0.535547
3,142,0.525906
3,143,0.348390
3,144,0.312930
3,145,0.876222
3,146,0.572364
3,147,0.445590
3,148,0.910350
3,149,0.598819
3,150,0.148902
4,5,0.103245
4,6,0.392149
4,7,0.119811
4,8,0.345728
4,9,0.086791
4,10,0.086791
4,11,0.305111
4,12,0.430172
4,13,0.422169
4,14,0.416577
4,15,0.414010
4,16,0.065298
4,17,0.360815
4,18,0.109264
4,19,0.044607
4,20,0.332741
4,21,0.410909
4,22,0.246349
4,23,0.393054
4,24,0.326488
4,25,0.521837
4,26,0.334445
4,27,0.337827
4,28,0.398441
4,29,0.421495
4,30,0.405687
4,31,0.482644
4,32,0.422337
4,33,0.088413
4,34,0.409349
4,35,0.455214
4,36,0.252897
4,37,0.059608
4,38,0.407610
4,39,0.426356
4,40,0.430503
4,41,0.241983
4,42,0.060789
4,43,0.090007
4,44,0.426689
4,45,0.407610
4,46,0.140554
4,47,0.247213
4,48,0.312930
4,49,0.074451
4,50,0.465556
4,51,0.055918
4,52,0.490675
4,53,0.049154
4,54,0.420989
4,55,0.497721
4,56,0.083452
4,57,0.416235
4,58,0.430503
4,59,0.369187
4,60,0.208544
4,61,0.244903
4,62,0.379626
4,63,0.397369
4,64,0.373398
4,65,0.068485
4,66,0.408654
4,67,0.063084
4,68,0.538326
4,69,0.435590
4,70,0.041298
4,71,0.232090
4,72,0.433792
4,73,0.234527
4,74,0.241983
4,75,0.118619
4,76,0.072517
4,77,0.340133
4,78,0.113099
4,79,0.384647
4,80,0.208203
4,81,0.287112
4,82,0.420820
4,83,0.440779
4,84,0.127846
4,85,0.105962
4,86,0.416577
4,87,0.284626
4,88,0.411945
4,89,0.387775
4,90,0.063084
4,91,0.219177
4,92,0.389238
4,93,0.076336
4,94,0.270808
4,95,0.467536
4,96,0.099744
4,97,0.443832
4,98,0.483085
4,99,0.205800
4,100,0.407958
4,101,0.424686
4,102,0.416747
4,103,0.453964
4,104,0.076336
4,105,0.365511
4,106,0.434119
4,107,0.349002
4,108,0.398619
4,109,0.441424
4,110,0.029202
4,111,0.061947
4,112,0.235736
4,113,0.127289
4,114,0.332313
4,115,0.408132
4,116,0.352446
4,117,0.039540
4,118,0.302538
4,119,0.142562
4,120,0.122161
4,121,0.023843
4,122,0.450664
4,123,0.076336
4,124,0.079079
4,125,0.409870
4,126,0.072517
4,127,0.430172
4,128,0.370340
4,129,0.407086
4,130,0.211589
4,131,0.394137
4,132,0.377561
4,133,0.416577
4,134,0.372254
4,135,0.421832
4,136,0.119811
4,137,0.422000
4,138,0.307893
4,139,0.065298
4,140,0.314289
4,141,0.084299
4,142,0.058404
4,143,0.231784
4,144,0.252052
4,145,0.379626
4,146,0.066377
4,147,0.163896
4,148,0.443351
4,149,0.081731
4,150,0.399331
5,6,0.449401
5,7,0.203019
5,8,0.294926
5,9,0.107955
5,10,0.162590
5,11,0.262818
5,12,0.495718
5,13,0.474926
5,14,0.481021
5,15,0.476718
5,16,0.088413
5,17,0.316542
5,18,0.185840
5,19,0.136450
5,20,0.290067
5,21,0.480578
5,22,0.215251
5,23,0.459255
5,24,0.282370
5,25,0.455058
5,26,0.287606
5,27,0.277547
5,28,0.349205
5,29,0.488788
5,30,0.473427
5,31,0.550982
5,32,0.471773
5,33,0.060789
5,34,0.477463
5,35,0.527929
5,36,0.207519
5,37,0.077261
5,38,0.467536
5,39,0.489805
5,40,0.489079
5,41,0.220792
5,42,0.126729
5,43,0.041298
5,44,0.483085
5,45,0.463261
5,46,0.213927
5,47,0.197699
5,48,0.268171
5,49,0.058404
5,50,0.413323
5,51,0.150327
5,52,0.422673
5,53,0.149853
5,54,0.482496
5,55,0.426189
5,56,0.153600
5,57,0.475673
5,58,0.494282
5,59,0.434773
5,60,0.285374
5,61,0.200553
5,62,0.449401
5,63,0.461108
5,64,0.439002
5,65,0.160832
5,66,0.470566
5,67,0.153137
5,68,0.476569
5,69,0.505794
5,70,0.094625
5,71,0.216568
5,72,0.486457
5,73,0.209224
5,74,0.220792
5,75,0.159946
5,76,0.172761
5,77,0.312020
5,78,0.191861
5,79,0.442549
5,80,0.289576
5,81,0.239326
5,82,0.484114
5,83,0.502976
5,84,0.204414
5,85,0.050579
5,86,0.481021
5,87,0.270020
5,88,0.475823
5,89,0.455682
5,90,0.126729
5,91,0.299469
5,92,0.337827
5,93,0.105289
5,94,0.225253
5,95,0.398797
5,96,0.185840
5,97,0.516499
5,98,0.554966
5,99,0.162152
5,100,0.343874
5,101,0.495288
5,102,0.479097
5,103,0.526312
5,104,0.071530
5,105,0.334020
5,106,0.505372
5,107,0.295407
5,108,0.365317
5,109,0.509434
5,110,0.085138
5,111,0.044607
5,112,0.198058
5,113,0.054632
5,114,0.296368
5,115,0.470415
5,116,0.297564
5,117,0.131679
5,118,0.257077
5,119,0.209903
5,120,0.219177
5,121,0.090007
5,122,0.519654
5,123,0.037700
5,124,0.165621
5,125,0.467688
5,126,0.167753
5,127,0.362191
5,128,0.322547
5,129,0.470717
5,130,0.296368
5,131,0.351234
5,132,0.308124
5,133,0.481021
5,134,0.326488
5,135,0.486457
5,136,0.041298
5,137,0.351639
5,138,0.263897
5,139,0.155896
5,140,0.264972
5,141,0.097583
5,142,0.078176
5,143,0.225253
5,144,0.228075
5,145,0.435916
5,146,0.127289
5,147,0.203718
5,148,0.489224
5,149,0.156351
5,150,0.338668
6,7,0.279842
6,8,0.676391
6,9,0.417939
6,10,0.316542
6,11,0.642997
6,12,0.093871
6,13,0.037700
6,14,0.078176
6,15,0.060789
6,16,0.421495
6,17,0.720645
6,18,0.317663
6,19,0.381866
6,20,0.695658
6,21,0.090793
6,22,0.594771
6,23,0.049154
6,24,0.690428
6,25,0.847865
6,26,0.675550
6,27,0.708011
6,28,0.749550
6,29,0.087606
6,30,0.084299
6,31,0.117415
6,32,0.124466
6,33,0.398797
6,34,0.076336
6,35,0.126167
6,36,0.615786
6,37,0.399865
6,38,0.035765
6,39,0.059608
6,40,0.093871
6,41,0.609056
6,42,0.391786
6,43,0.433628
6,44,0.064200
6,45,0.042984
6,46,0.297086
6,47,0.606718
6,48,0.667720
6,49,0.395577
6,50,0.802657
6,51,0.346344
6,52,0.844842
6,53,0.384647
6,54,0.046172
6,55,0.854793
6,56,0.332313
6,57,0.035765
6,58,0.055918
6,59,0.076336
6,60,0.303476
6,61,0.600597
6,62,0.089214
6,63,0.072517
6,64,0.046172
6,65,0.350221
6,66,0.042984
6,67,0.340968
6,68,0.874518
6,69,0.101859
6,70,0.368223
6,71,0.601661
6,72,0.099744
6,73,0.581235
6,74,0.609056
6,75,0.345728
6,76,0.383907
6,77,0.680476
6,78,0.343046
6,79,0.064200
6,80,0.265776
6,81,0.649704
6,82,0.055918
6,83,0.068485
6,84,0.310650
6,85,0.473727
6,86,0.078176
6,87,0.638450
6,88,0.053315
6,89,0.055918
6,90,0.432150
6,91,0.227451
6,92,0.734321
6,93,0.465556
6,94,0.647512
6,95,0.810498
6,96,0.334657
6,97,0.135928
6,98,0.151738
6,99,0.586711
6,100,0.754464
6,101,0.104612
6,102,0.041298
6,103,0.132754
6,104,0.452238
6,105,0.709114
6,106,0.096852
6,107,0.698105
6,108,0.752861
6,109,0.093111
6,110,0.412634
6,111,0.419636
6,112,0.587074
6,113,0.443512
6,114,0.674918
6,115,0.065298
6,116,0.693919
6,117,0.355857
6,118,0.650578
6,119,0.268965
6,120,0.321885
6,121,0.400043
6,122,0.171523
6,123,0.414867
6,124,0.371298
6,125,0.044607
6,126,0.332313
6,127,0.787011
6,128,0.716789
6,129,0.050579
6,130,0.262548
6,131,0.737893
6,132,0.724481
6,133,0.078176
6,134,0.720349
6,135,0.080857
6,136,0.463414
6,137,0.775642
6,138,0.672598
6,139,0.337617
6,140,0.670693
6,141,0.399687
6,142,0.375107
6,143,0.589370
6,144,0.608472
6,145,0.033720
6,146,0.335294
6,147,0.518969
6,148,0.096116
6,149,0.330598
6,150,0.751160
7,8,0.445111
7,9,0.155440
7,10,0.050579
7,11,0.406737
7,12,0.313837
7,13,0.312475
7,14,0.301125
7,15,0.303242
7,16,0.166477
7,17,0.470717
7,18,0.064200
7,19,0.108612
7,20,0.442549
7,21,0.294685
7,22,0.349612
7,23,0.277547
7,24,0.437218
7,25,0.627560
7,26,0.436730
7,27,0.453337
7,28,0.506636
7,29,0.303710
7,30,0.289331
7,31,0.366676
7,32,0.326053
7,33,0.164329
7,34,0.294443
7,35,0.337827
7,36,0.361799
7,37,0.149853
7,38,0.295407
7,39,0.313157
7,40,0.325398
7,41,0.349815
7,42,0.136450
7,43,0.188498
7,44,0.318556
7,45,0.299232
7,46,0.071530
7,47,0.358246
7,48,0.422169
7,49,0.153600
7,50,0.570499
7,51,0.072517
7,52,0.603783
7,53,0.110557
7,54,0.307662
7,55,0.612082
7,56,0.077261
7,57,0.303007
7,58,0.315643
7,59,0.260100
7,60,0.134350
7,61,0.351841
7,62,0.266310
7,63,0.281614
7,64,0.257353
7,65,0.075399
7,66,0.294926
7,67,0.074451
7,68,0.646414
7,69,0.318556
7,70,0.109912
7,71,0.338458
7,72,0.331885
7,73,0.335929
7,74,0.349815
7,75,0.113099
7,76,0.113099
7,77,0.440457
7,78,0.086791
7,79,0.278569
7,80,0.113099
7,81,0.397727
7,82,0.305576
7,83,0.324742
7,84,0.069515
7,85,0.217876
7,86,0.301125
7,87,0.384277
7,88,0.297564
7,89,0.272117
7,90,0.163026
7,91,0.107295
7,92,0.495431
7,93,0.190000
7,94,0.387958
7,95,0.576077
7,96,0.068485
7,97,0.326271
7,98,0.365317
7,99,0.321885
7,100,0.518284
7,101,0.307662
7,102,0.302773
7,103,0.336140
7,104,0.183919
7,105,0.467688
7,106,0.317439
7,107,0.456461
7,108,0.504809
7,109,0.324304
7,110,0.144543
7,111,0.162590
7,112,0.340133
7,113,0.215581
7,114,0.434119
7,115,0.298518
7,116,0.457550
7,117,0.084299
7,118,0.407958
7,119,0.053315
7,120,0.065298
7,121,0.134350
7,122,0.334232
7,123,0.168598
7,124,0.103245
7,125,0.300417
7,126,0.060789
7,127,0.544104
7,128,0.477165
7,129,0.294685
7,130,0.114349
7,131,0.498149
7,132,0.488352
7,133,0.301125
7,134,0.477760
7,135,0.305111
7,136,0.221756
7,137,0.534485
7,138,0.420144
7,139,0.061947
7,140,0.424519
7,141,0.145523
7,142,0.126729
7,143,0.332741
7,144,0.357650
7,145,0.269493
7,146,0.077261
7,147,0.252897
7,148,0.341801
7,149,0.065298
7,150,0.509573
8,9,0.370532
8,10,0.424184
8,11,0.060789
8,12,0.739432
8,13,0.700950
8,14,0.723597
8,15,0.694840
8,16,0.292263
8,17,0.097583
8,18,0.451924
8,19,0.384647
8,20,0.092345
8,21,0.719164
8,22,0.115585
8,23,0.688160
8,24,0.094625
8,25,0.215581
8,26,0.029202
8,27,0.127289
8,28,0.096852
8,29,0.728198
8,30,0.714803
8,31,0.773715
8,32,0.662699
8,33,0.310422
8,34,0.710915
8,35,0.762894
8,36,0.112469
8,37,0.308585
8,38,0.696985
8,39,0.715697
8,40,0.701760
8,41,0.147463
8,42,0.323207
8,43,0.283124
8,44,0.692484
8,45,0.685885
8,46,0.481907
8,47,0.124466
8,48,0.096852
8,49,0.319002
8,50,0.140048
8,51,0.397727
8,52,0.199131
8,53,0.372063
8,54,0.711115
8,55,0.219177
8,56,0.424853
8,57,0.706906
8,58,0.719757
8,59,0.653629
8,60,0.547229
8,61,0.107295
8,62,0.685574
8,63,0.705296
8,64,0.669314
8,65,0.412634
8,66,0.703075
8,67,0.400930
8,68,0.229318
8,69,0.742214
8,70,0.358642
8,71,0.164329
8,72,0.690943
8,73,0.128400
8,74,0.147463
8,75,0.442870
8,76,0.388507
8,77,0.097583
8,78,0.450033
8,79,0.655367
8,80,0.546580
8,81,0.093111
8,82,0.718373
8,83,0.737604
8,84,0.469357
8,85,0.255135
8,86,0.723597
8,87,0.136450
8,88,0.708412
8,89,0.676391
8,90,0.306969
8,91,0.548008
8,92,0.072517
8,93,0.320336
8,94,0.166477
8,95,0.153137
8,96,0.440457
8,97,0.759159
8,98,0.794470
8,99,0.179618
8,100,0.128400
8,101,0.735094
8,102,0.705396
8,103,0.765869
8,104,0.326053
8,105,0.100454
8,106,0.734417
8,107,0.055918
8,108,0.133288
8,109,0.745081
8,110,0.334870
8,111,0.313157
8,112,0.114349
8,113,0.274716
8,114,0.065298
8,115,0.691765
8,116,0.042984
8,117,0.367451
8,118,0.061947
8,119,0.474776
8,120,0.455214
8,121,0.336140
8,122,0.770771
8,123,0.318556
8,124,0.419636
8,125,0.690737
8,126,0.407784
8,127,0.163896
8,128,0.082596
8,129,0.689501
8,130,0.549691
8,131,0.082596
8,132,0.123894
8,133,0.723597
8,134,0.065298
8,135,0.728198
8,136,0.262277
8,137,0.146010
8,138,0.113099
8,139,0.407610
8,140,0.090793
8,141,0.377185
8,142,0.347369
8,143,0.164761
8,144,0.133820
8,145,0.670057
8,146,0.388507
8,147,0.268701
8,148,0.696372
8,149,0.421832
8,150,0.101859
9,10,0.110557
9,11,0.339297
9,12,0.448768
9,13,0.447817
9,14,0.437381
9,15,0.449401
9,16,0.134350
9,17,0.385016
9,18,0.117415
9,19,0.096116
9,20,0.354056
9,21,0.435590
9,22,0.284626
9,23,0.421495
9,24,0.348186
9,25,0.546189
9,26,0.358840
9,27,0.347982
9,28,0.423177
9,29,0.440457
9,30,0.427687
9,31,0.512216
9,32,0.466319
9,33,0.123894
9,34,0.438030
9,35,0.479393
9,36,0.270546
9,37,0.121578
9,38,0.436079
9,39,0.457084
9,40,0.470415
9,41,0.273160
9,42,0.145523
9,43,0.125036
9,44,0.461416
9,45,0.439326
9,46,0.142063
9,47,0.276264
9,48,0.344287
9,49,0.107955
9,50,0.492698
9,51,0.111198
9,52,0.502552
9,53,0.119217
9,54,0.449243
9,55,0.504950
9,56,0.107955
9,57,0.441907
9,58,0.458791
9,59,0.408480
9,60,0.196978
9,61,0.270546
9,62,0.410389
9,63,0.416065
9,64,0.400043
9,65,0.102554
9,66,0.435427
9,67,0.123319
9,68,0.562976
9,69,0.459565
9,70,0.090007
9,71,0.257905
9,72,0.473727
9,73,0.275491
9,74,0.273160
9,75,0.087606
9,76,0.134878
9,77,0.378689
9,78,0.105962
9,79,0.422841
9,80,0.211253
9,81,0.308354
9,82,0.445271
9,83,0.462032
9,84,0.129502
9,85,0.129502
9,86,0.437381
9,87,0.314741
9,88,0.439164
9,89,0.418958
9,90,0.134350
9,91,0.229628
9,92,0.413838
9,93,0.096852
9,94,0.292749
9,95,0.479393
9,96,0.111198
9,97,0.462186
9,98,0.502552
9,99,0.217550
9,100,0.429511
9,101,0.447023
9,102,0.445271
9,103,0.474027
9,104,0.060789
9,105,0.400930
9,106,0.462493
9,107,0.371681
9,108,0.429015
9,109,0.464486
9,110,0.088413
9,111,0.080857
9,112,0.267109
9,113,0.154982
9,114,0.364733
9,115,0.443992
9,116,0.376808
9,117,0.107955
9,118,0.331028
9,119,0.153600
9,120,0.151738
9,121,0.097583
9,122,0.455214
9,123,0.099744
9,124,0.103245
9,125,0.442067
9,126,0.130595
9,127,0.443352
9,128,0.400043
9,129,0.440779
9,130,0.220470
9,131,0.422169
9,132,0.395756
9,133,0.437381
9,134,0.396832
9,135,0.440134
9,136,0.144050
9,137,0.432479
9,138,0.334657
9,139,0.107295
9,140,0.341801
9,141,0.031542
9,142,0.093111
9,143,0.270020
9,144,0.291533
9,145,0.406212
9,146,0.096852
9,147,0.209903
9,148,0.476569
9,149,0.096852
9,150,0.417258
10,11,0.386306
10,12,0.348594
10,13,0.347369
10,14,0.335929
10,15,0.342839
10,16,0.141562
10,17,0.445909
10,18,0.035765
10,19,0.074451
10,20,0.417429
10,21,0.331885
10,22,0.329090
10,23,0.316767
10,24,0.411427
10,25,0.601661
10,26,0.415038
10,27,0.421495
10,28,0.482496
10,29,0.340342
10,30,0.325398
10,31,0.407086
10,32,0.363562
10,33,0.133820
10,34,0.332527
10,35,0.376430
10,36,0.335294
10,37,0.122741
10,38,0.332099
10,39,0.351639
10,40,0.363367
10,41,0.327141
10,42,0.122161
10,43,0.155439
10,44,0.357650
10,45,0.335506
10,46,0.060789
10,47,0.331028
10,48,0.397548
10,49,0.120403
10,50,0.548138
10,51,0.046172
10,52,0.573109
10,53,0.090793
10,54,0.345111
10,55,0.579398
10,56,0.033720
10,57,0.339297
10,58,0.354657
10,59,0.300180
10,60,0.137487
10,61,0.327141
10,62,0.303710
10,63,0.315868
10,64,0.296368
10,65,0.044607
10,66,0.331671
10,67,0.051965
10,68,0.620614
10,69,0.356456
10,70,0.072517
10,71,0.315868
10,72,0.369187
10,73,0.316767
10,74,0.327141
10,75,0.069515
10,76,0.099744
10,77,0.423009
10,78,0.061947
10,79,0.317215
10,80,0.130595
10,81,0.371107
10,82,0.342424
10,83,0.361209
10,84,0.053315
10,85,0.183144
10,86,0.335929
10,87,0.366482
10,88,0.334870
10,89,0.313837
10,90,0.142562
10,91,0.138517
10,92,0.471923
10,93,0.152672
10,94,0.356655
10,95,0.547748
10,96,0.046172
10,97,0.362583
10,98,0.402345
10,99,0.289822
10,100,0.490095
10,101,0.344699
10,102,0.341176
10,103,0.373398
10,104,0.140048
10,105,0.449085
10,106,0.357451
10,107,0.431492
10,108,0.483820
10,109,0.361995
10,110,0.107295
10,111,0.123894
10,112,0.317663
10,113,0.183532
10,114,0.414696
10,115,0.336985
10,116,0.433628
10,117,0.063084
10,118,0.385016
10,119,0.055918
10,120,0.075399
10,121,0.100454
10,122,0.365900
10,123,0.129502
10,124,0.070530
10,125,0.337406
10,126,0.050579
10,127,0.512632
10,128,0.453964
10,129,0.334870
10,130,0.135928
10,131,0.477165
10,132,0.458326
10,133,0.335929
10,134,0.455214
10,135,0.340342
10,136,0.186984
10,137,0.503258
10,138,0.393596
10,139,0.031542
10,140,0.398619
10,141,0.097583
10,142,0.090007
10,143,0.314741
10,144,0.336774
10,145,0.303710
10,146,0.041298
10,147,0.239029
10,148,0.376619
10,149,0.016860
10,150,0.482054
11,12,0.703176
11,13,0.668146
11,14,0.687127
11,15,0.658288
11,16,0.249217
11,17,0.090007
11,18,0.413495
11,19,0.341593
11,20,0.080857
11,21,0.681206
11,22,0.063084
11,23,0.651888
11,24,0.078176
11,25,0.238731
11,26,0.050579
11,27,0.122741
11,28,0.107955
11,29,0.692586
11,30,0.677650
11,31,0.737025
11,32,0.629031
11,33,0.276521
11,34,0.672915
11,35,0.724873
11,36,0.088413
11,37,0.269229
11,38,0.661411
11,39,0.679221
11,40,0.664520
11,41,0.103245
11,42,0.278314
11,43,0.247213
11,44,0.658827
11,45,0.651015
11,46,0.444152
11,47,0.079973
11,48,0.055918
11,49,0.284626
11,50,0.164329
11,51,0.355857
11,52,0.223352
11,53,0.327358
11,54,0.675444
11,55,0.243155
11,56,0.384832
11,57,0.672069
11,58,0.684329
11,59,0.615325
11,60,0.509852
11,61,0.072517
11,62,0.646084
11,63,0.669527
11,64,0.633758
11,65,0.371681
11,66,0.667188
11,67,0.357849
11,68,0.250071
11,69,0.704691
11,70,0.320558
11,71,0.127289
11,72,0.656125
11,73,0.077261
11,74,0.103245
11,75,0.409176
11,76,0.342631
11,77,0.066377
11,78,0.412807
11,79,0.619698
11,80,0.508316
11,81,0.066377
11,82,0.682665
11,83,0.703075
11,84,0.431492
11,85,0.219177
11,86,0.687127
11,87,0.107295
11,88,0.671964
11,89,0.640561
11,90,0.261463
11,91,0.511244
11,92,0.093111
11,93,0.278569
11,94,0.126729
11,95,0.191119
11,96,0.401638
11,97,0.721532
11,98,0.757096
11,99,0.146496
11,100,0.138003
11,101,0.697392
11,102,0.670057
11,103,0.728394
11,104,0.290556
11,105,0.083452
11,106,0.696679
11,107,0.065298
11,108,0.125603
11,109,0.708512
11,110,0.293234
11,111,0.278569
11,112,0.073490
11,113,0.242277
11,114,0.044607
11,115,0.654390
11,116,0.061947
11,117,0.327358
